dir_deg,speed,d_away_A,sd_A,d_away_B,sd_B,R,R_lo,R_hi,n_dn_A,n_dn_B,flee_A,flee_B,eligible
0,fast,0.1935991155301538,0.0319202957361011,-0.0679210733422571,0.026426314657355926,1.3508335932024345,1.318010315555123,1.3832510491857715,141.55,8.04,1.0,0.0,True
0,medium,0.2838280003208279,0.06006643138605565,-0.06714913340931568,0.02600129335390342,1.236583893532044,1.2154160572036052,1.2587850807649537,136.79,7.93,1.0,0.0,True
0,slow,0.11792998736327334,0.015136267818775424,-0.07166438123318433,0.025926317346430326,1.6076858213545657,1.5593343549345098,1.657540810204325,55.52,3.88,1.0,0.0,True
45,fast,0.25087558867896875,0.06404117549244687,-0.05778913863528915,0.02520082220193438,1.2303497878752907,1.205973474052148,1.2595947907506782,118.72,5.62,1.0,0.0,True
45,medium,0.2751795064803302,0.10494176948147386,-0.05663304178201515,0.02628214273650889,1.2058039950226573,1.1778704319782056,1.2410325960398685,76.84,4.77,1.0,0.0,True
45,slow,0.11183054451014884,0.03564511959305776,-0.05652221535849918,0.027544751158687743,1.5054273464023926,1.4385402805871625,1.58537104640295,33.96,1.46,0.99,0.0,True
90,fast,0.28052939206047645,0.042984240668311004,-0.008617889688376812,0.035214792751185026,1.0307200954063271,1.0071991735733996,1.0538797140636624,100.34,2.65,1.0,0.22,True
90,medium,0.31650668498467893,0.07859557601968835,-0.0070645733781254895,0.03548452771168614,1.0223204555014926,1.000635844478624,1.0433890406911919,66.23,1.85,1.0,0.21,True
90,slow,0.11512149325594873,0.021865300322055168,-0.0043201956890122975,0.03591243084588613,1.0375272728560534,0.9793924575772313,1.097974585784259,19.15,0.24,0.99,0.22,True
135,fast,0.14006555925588923,0.1053144899101498,0.048752254334055445,0.03483054019725017,0.6519326050382682,0.5511903785749898,0.7304032258727271,86.24,1.98,0.86,0.75,True
135,medium,0.15214431841751075,0.14044373102079105,0.05060278381595253,0.033074820450433244,0.6674027374647695,0.5572748034319778,0.7480918064646369,65.08,1.37,0.76,0.79,True
135,slow,0.09011024935202125,0.03842528823180901,0.05441117444208848,0.033467855999901645,0.3961710811660517,0.30197855111773597,0.48143842017540905,9.14,0.17,0.95,0.81,True
180,fast,-0.022048260892635327,0.08406987613074154,0.0780795077309786,0.02781032262127811,,-58.29723109414624,-10.10109649536883,76.72,1.38,0.31,0.96,False
180,medium,0.006274344934621006,0.0952140433977327,0.07786339840718012,0.02769227912052765,-11.40980520174149,-160.93962897581835,-1.896324518626443,66.18,1.61,0.4,0.98,False
180,slow,0.07809886520229234,0.04203400053205698,0.08113699941488971,0.026843170327722734,-0.03890113133818218,-0.13295912527802153,0.04048548857980123,4.14,0.24,0.91,0.98,False
225,fast,0.09000772481629421,0.10552228820844634,0.05988178578608717,0.030030527643081707,0.33470392782057423,0.0842606577159086,0.48930043258163264,77.47,1.88,0.76,0.9,True
225,medium,0.09918901549007211,0.14334320277383011,0.05970926111298111,0.030071101386683036,0.3980254686673703,0.12972488189543765,0.5561231921367041,66.04,1.57,0.68,0.89,True
225,slow,0.07647149535696882,0.036757005668798894,0.0608124225171184,0.029845579641084675,0.20477006192639347,0.09476242666532507,0.29895295694980717,5.69,0.17,0.92,0.89,True
270,fast,0.23638871044543305,0.04389607624541989,0.00615282144168485,0.03369037245813894,0.9739715935245344,0.9450022741028817,1.0003109205277663,87.37,3.59,1.0,0.31,True
270,medium,0.2865556985385286,0.09192861913895785,0.007231324443093132,0.03445352537687118,0.974764681072567,0.9498198686951966,0.9971585224989375,64.43,2.92,1.0,0.33,True
270,slow,0.09585869236847908,0.025925529524849122,0.006109123657327916,0.034806025622850574,0.9362694868208242,0.8637389458211767,1.0040024641927048,14.67,0.34,0.99,0.29,True
315,fast,0.22630851026329185,0.04651281078770079,-0.04677548268721033,0.03012753664149108,1.20668901329778,1.176425162396156,1.2383446436778773,104.27,6.03,1.0,0.01,True
315,medium,0.27562421312440333,0.10077450638075988,-0.0465312816573818,0.029451732623973027,1.168821458499293,1.140389956300207,1.2001151066701212,74.98,5.86,1.0,0.01,True
315,slow,0.09928411885528865,0.03386941030052627,-0.04705245387313326,0.0299112249953428,1.4739172227706876,1.3971153308572037,1.560763291139653,29.55,1.65,0.96,0.01,True
