dir_deg,speed,d_away_A,sd_A,d_away_B,sd_B,R,R_lo,R_hi,n_dn_A,n_dn_B,flee_A,flee_B,eligible
0,fast,0.20173964947548714,0.08758758881082432,-0.04039854184675523,0.09019233122229527,1.200250877563183,1.109522638297716,1.2876496558741046,130.46,6.87,0.94,0.19,True
0,medium,0.26646695548849303,0.12164806187153572,-0.04136511210934453,0.08966526226630286,1.1552354288490034,1.0895704121535466,1.2152856817472004,109.14,6.44,0.95,0.17,True
0,slow,0.12334599901726717,0.04602103254493891,-0.044569671900116965,0.09055689347701415,1.3613386105363472,1.2033347908551684,1.5140649379307387,45.72,3.72,0.96,0.16,True
45,fast,0.2368682835969887,0.11930508822676793,-0.04283481466745543,0.08282314513556888,1.180838118202162,1.1091335288229127,1.2482083276988511,104.59,4.86,0.93,0.18,True
45,medium,0.23987858007917962,0.12711970432926611,-0.04249884298539727,0.0823386758148684,1.1771681446979099,1.1079132313904518,1.2482852959415693,62.39,4.19,0.96,0.16,True
45,slow,0.11230173537619581,0.05045810820033032,-0.042680779393733964,0.08275216771860026,1.3800544956029313,1.216248136253307,1.5488608097299263,29.17,1.69,0.96,0.16,True
90,fast,0.28259269480580246,0.11409842411158508,-0.01449124058477575,0.08172183195438908,1.0512796008217202,0.9989337680769353,1.112701300944874,99.13,2.95,0.94,0.25,True
90,medium,0.28992437915865316,0.12463751899800975,-0.011689155342950737,0.08089530186939163,1.0403179455859217,0.9903511806329754,1.10042514837365,58.82,1.83,0.95,0.23,True
90,slow,0.10950903063670073,0.049246025024535726,-0.009967533964795036,0.08160291217301519,1.0910202008623617,0.9614340476947462,1.266736329952053,19.53,0.85,0.92,0.25,True
135,fast,0.15583757733674503,0.1226052018869897,0.025951082518771654,0.09132300717907799,0.8334735244074367,0.7106744870355296,0.955032233799284,85.99,2.09,0.85,0.62,True
135,medium,0.16478378035181904,0.1400157540220357,0.029130833991013096,0.09042318806803278,0.8232178317015317,0.7078098496998507,0.9366896060619135,56.4,1.54,0.8,0.65,True
135,slow,0.08876557513491011,0.05651749752375545,0.03132848664904173,0.09238873455745861,0.6470649054948698,0.4873503549083283,0.846653155391769,11.59,0.53,0.84,0.66,True
180,fast,0.01977312245003292,0.13154302903373463,0.051346216251347235,0.0919553893741028,-1.5967682332975057,-23.28973821183809,0.11571706589538021,79.76,1.9,0.48,0.68,False
180,medium,0.05643825284823458,0.12710272649314375,0.05216516190922741,0.09194610784122824,0.07571267222778377,-0.8756157666908512,0.5128463847848019,57.53,1.34,0.52,0.69,False
180,slow,0.08254727623454887,0.05882245950423501,0.05441933632612117,0.09357513947180594,0.34074946129664285,0.19701246243019455,0.5291532089329469,6.97,0.33,0.87,0.71,False
225,fast,0.11420051953425331,0.13886809423690227,0.04635614520392491,0.08267340366988837,0.594081135593951,0.37857355126876047,0.7507751186952913,79.57,2.28,0.79,0.69,True
225,medium,0.13819420614386435,0.1666172240891563,0.04778027502832672,0.0822408159512778,0.6542526900253256,0.48260536373579016,0.7897107525675827,58.23,1.46,0.72,0.71,True
225,slow,0.08668305300364422,0.057474817302062504,0.04772465228287726,0.08325721791546574,0.44943503223322234,0.3004376455897813,0.6312940716616595,7.94,0.44,0.88,0.7,True
270,fast,0.25663103924045666,0.09230489319083938,0.01370132203615937,0.08298333571730848,0.9466108149789255,0.8752513518627091,1.0046258747743924,89.08,3.13,0.97,0.38,True
270,medium,0.2704693127630916,0.11426559412711271,0.015054566244487151,0.08235481779555995,0.9443390967696447,0.8775541272160442,0.9993957404288604,53.91,2.2,0.96,0.39,True
270,slow,0.10828890512648968,0.04475906372640518,0.013865728397552079,0.08367286764846577,0.8719561493270631,0.7316356037466595,1.0093162635789827,13.17,0.54,0.98,0.39,True
315,fast,0.23054835220144188,0.10923691919918198,-0.021254256032537878,0.09011074523760114,1.0921900149343378,1.0100274970520928,1.1629312079315033,96.51,4.96,0.93,0.21,True
315,medium,0.2275308416422056,0.1343824993630824,-0.021798097964842257,0.09076115070771498,1.0958028274651221,1.0125296338933174,1.1706953480856703,59.79,4.45,0.94,0.22,True
315,slow,0.1054922183336564,0.05633720267392675,-0.022583784996787412,0.0919228628266026,1.2140801032864643,1.033025381545033,1.4030361945181473,23.23,1.6,0.94,0.19,True
