pre_idx,post_idx,body_pre,body_post,weight,sign,pre_type,post_type
0,6,10010,531898,3,1.0,DNp01,DNp04
0,8,10010,10228,3,1.0,DNp01,DNp06
0,10,10010,10259,8,1.0,DNp01,DNp11
0,11,10010,10106,90,1.0,DNp01,DNp11
0,12,10010,10017,12,1.0,DNp01,AMMC-A1
0,32,10010,10780,5,1.0,DNp01,AVLP396
0,38,10010,519389,4,1.0,DNp01,AVLP452
0,39,10010,531899,8,1.0,DNp01,AVLP452
0,90,10010,21342,3,1.0,DNp01,CL323
0,100,10010,10417,10,1.0,DNp01,DNp103
0,102,10010,515575,6,1.0,DNp01,DNp26
0,106,10010,10580,19,1.0,DNp01,DNp70
0,107,10010,11133,4,1.0,DNp01,DNp70
0,108,10010,10091,15,1.0,DNp01,DNpe042
0,109,10010,12628,5,1.0,DNp01,DNpe042
0,111,10010,10263,4,1.0,DNp01,GNG300
0,155,10010,11047,3,1.0,DNp01,PS001
0,171,10010,10074,17,1.0,DNp01,PVLP010
0,214,10010,10992,8,1.0,DNp01,PVLP122
0,215,10010,11927,3,1.0,DNp01,PVLP122
0,220,10010,16482,3,1.0,DNp01,PVLP123
0,236,10010,11677,6,1.0,DNp01,PVLP151
0,237,10010,11826,4,1.0,DNp01,PVLP151
0,238,10010,30194,3,1.0,DNp01,SAD013
0,241,10010,522711,5,1.0,DNp01,SAD023
0,258,10010,13274,5,1.0,DNp01,SAD073
0,286,10010,18396,3,1.0,DNp01,LC4
0,291,10010,20859,3,1.0,DNp01,LC4
0,320,10010,107513,3,1.0,DNp01,LC4
0,329,10010,516909,3,1.0,DNp01,LC4
1,3,10001,10117,8,1.0,DNp01,DNp02
1,9,10001,10584,9,1.0,DNp01,DNp06
1,11,10001,10106,9,1.0,DNp01,DNp11
1,16,10001,10277,5,1.0,DNp01,AMMC-A1
1,33,10001,12041,6,1.0,DNp01,AVLP396
1,35,10001,13825,5,1.0,DNp01,AVLP429
1,41,10001,531983,3,1.0,DNp01,AVLP452
1,49,10001,512121,4,1.0,DNp01,CB1280
1,52,10001,27620,3,1.0,DNp01,CB1638
1,99,10001,10923,10,1.0,DNp01,DNg40
1,101,10001,10283,18,1.0,DNp01,DNp103
1,106,10001,10580,8,1.0,DNp01,DNp70
1,107,10001,11133,13,1.0,DNp01,DNp70
1,108,10001,10091,5,1.0,DNp01,DNpe042
1,109,10001,12628,9,1.0,DNp01,DNpe042
