local_index,bodyId,type,instance,side,role,nt,sign,sector,input_channel_kind,input_gain,superclass
0,10010,DNp01,DNp01(GF)_L,L,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
1,10001,DNp01,DNp01(GF)_R,R,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
2,10197,DNp02,DNp02_L,L,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
3,10117,DNp02,DNp02_R,R,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
4,10752,DNp03,DNp03_L,L,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
5,10989,DNp03,DNp03_R,R,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
6,531898,DNp04,DNp04_L,L,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
7,11137,DNp04,DNp04_R,R,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
8,10228,DNp06,DNp06_L,L,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
9,10584,DNp06,DNp06_R,R,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
10,10259,DNp11,DNp11_L,L,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
11,10106,DNp11,DNp11_R,R,dn,acetylcholine,1.0,-1,,0.0,descending_neuron
12,10017,AMMC-A1,AMMC-A1_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
13,10020,AMMC-A1,AMMC-A1_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
14,10257,AMMC-A1,AMMC-A1_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
15,10146,AMMC-A1,AMMC-A1_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
16,10277,AMMC-A1,AMMC-A1_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
17,517110,AOTU036,AOTU036_L,L,inter,glutamate,-1.0,-1,,0.0,cb_intrinsic
18,20096,AOTU036,AOTU036_R,R,inter,glutamate,-1.0,-1,,0.0,cb_intrinsic
19,10172,AVLP080,AVLP080_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
20,21568,AVLP080,AVLP080_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
21,22292,AVLP094,AVLP094_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
22,21548,AVLP094,AVLP094_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
23,22620,AVLP176_d,AVLP176_d_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
24,570458,AVLP176_d,AVLP176_d_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
25,25839,AVLP176_d,AVLP176_d_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
26,530850,AVLP176_d,AVLP176_d_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
27,17404,AVLP202,AVLP202_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
28,12798,AVLP210,AVLP210_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
29,16904,AVLP259,AVLP259_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
30,521326,AVLP259,AVLP259_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
31,16887,AVLP259,AVLP259_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
32,10780,AVLP396,AVLP396_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
33,12041,AVLP396,AVLP396_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
34,11599,AVLP429,AVLP429_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
35,13825,AVLP429,AVLP429_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
36,18433,AVLP451,AVLP451_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
37,526472,AVLP451,AVLP451_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
38,519389,AVLP452,AVLP452_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
39,531899,AVLP452,AVLP452_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
40,85544,AVLP452,AVLP452_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
41,531983,AVLP452,AVLP452_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
42,11101,AVLP502,AVLP502_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
43,11462,AVLP502,AVLP502_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
44,516980,CB0414,CB0414_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
45,520341,CB0540,CB0540_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
46,12564,CB0540,CB0540_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
47,22804,CB0734,CB0734_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
48,11378,CB1280,CB1280_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
49,512121,CB1280,CB1280_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
50,556303,CB1498,CB1498_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
51,20338,CB1498,CB1498_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
52,27620,CB1638,CB1638_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
53,29523,CB1638,CB1638_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
54,14106,CB2664,CB2664_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
55,19924,CB2664,CB2664_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
56,13600,CB2664,CB2664_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
57,15261,CB2664,CB2664_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
58,38423,CB2940,CB2940_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
59,18687,CB3019,CB3019_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
